日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20260101,156205,30207,34228,64435,23452,28678,52130,116565,8404,9441,17845,2,321,323,1,0,1,16,718,734,0,0,0,0,0,0,0,0,0,172,184,356,1,0,1,4086,3618,7704,3837,2930,6767,35,211,246,153,166,319,0,0,0,0,0,0,2522,2749,5271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,47,22,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260102,152571,29356,32098,61454,25059,26572,51631,113085,8312,8271,16583,0,0,0,0,3,3,1494,1674,3168,0,0,0,0,0,0,0,0,0,118,136,254,1,0,1,4031,3887,7918,2689,3203,5892,47,58,105,0,0,0,0,0,0,0,0,0,2745,2724,5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,53,39,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260103,159257,31988,32624,64612,27741,27748,55489,120101,8749,9287,18036,2,0,2,2,2,4,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4308,4262,8570,2491,3859,6350,101,59,160,25,52,77,1,1,2,0,0,0,2989,2510,5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,156,153,309,56,72,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260104,178321,34135,34726,68861,30584,30189,60773,129634,10034,9631,19665,1978,1850,3828,6,1,7,1655,1010,2665,0,0,0,0,0,0,0,0,0,176,179,355,2,3,5,4628,4569,9197,3450,2180,5630,171,66,237,331,349,680,0,2,2,0,0,0,3163,3134,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,42,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260105,165272,30733,32421,63154,25727,28690,54417,117571,8652,9148,17800,5173,5213,10386,6,10,16,21,28,49,4,0,4,0,0,0,0,0,0,4,0,4,0,1,1,4201,4334,8535,2620,2487,5107,57,95,152,0,0,0,2,3,5,0,0,0,2649,2897,5546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,25,0,0,0,0,0,0,43,28,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260106,136962,27065,29738,56803,22156,25935,48091,104894,7169,8036,15205,1,1,2,31,20,51,14,20,34,0,0,0,0,1,1,0,0,0,122,118,240,21,12,33,3652,3995,7647,1963,2365,4328,31,47,78,0,0,0,0,1,1,0,0,0,2068,2281,4349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,10,10,0,0,0,54,33,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260107,133922,22748,29021,51769,18059,23746,41805,93574,6322,8239,14561,4340,4313,8653,40,37,77,13,21,34,0,0,0,1,3,4,0,0,0,0,0,0,0,5,5,3483,4436,7919,1753,2268,4021,35,91,126,0,0,0,14,14,28,0,0,0,2328,2503,4831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,37,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260108,130738,23063,30215,53278,18629,26889,45518,98796,6503,8576,15079,0,1,1,12,14,26,50,41,91,0,0,0,5,0,5,0,0,0,180,178,358,0,0,0,3015,3941,6956,1952,2435,4387,49,89,138,164,97,261,1,1,2,0,0,0,2177,2374,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,1,0,0,0,61,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260109,153336,26010,30817,56827,22404,25970,48374,105201,7896,9041,16937,4760,4738,9498,4,2,6,1051,1544,2595,0,0,0,0,0,0,0,0,0,79,112,191,1,1,2,3647,4151,7798,2462,2962,5424,49,127,176,0,0,0,0,4,4,0,0,0,2566,2838,5404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,10,12,0,0,0,52,34,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260110,143615,27721,30973,58694,22394,27135,49529,108223,7661,8889,16550,347,2,349,7,4,11,15,11,26,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3858,3918,7776,2929,2704,5633,35,98,133,0,0,0,4,2,6,0,0,0,2403,2411,4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,2,2,0,0,0,47,33,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
