日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150401","2881C","富邦金丙特","59724","3083391","51.60","51.90","51.60","51.60","0.0000","69"
"1150401","2882","國泰金","22293714","1598560020","71.60","72.00","71.10","71.90","1.6000","9085"
"1150401","2882A","國泰特","98258","6094932","62.00","62.10","62.00","62.10","0.0000","21"
"1150401","2882B","國泰金乙特","63259","3839731","60.70","60.80","60.70","60.80","0.0000","35"
"1150401","2883","凱基金","40010288","785844005","19.60","19.80","19.40","19.80","0.5500","8364"
"1150401","2883B","凱基金乙特","2885171","23629896","8.13","8.24","8.13","8.24","0.1100","452"
"1150401","2884","玉山金","19272080","620384235","32.15","32.30","31.85","32.30","0.5500","7163"
"1150401","2885","元大金","34273989","1600057878","46.50","47.20","45.50","47.10","2.3500","13519"
"1150401","2886","兆豐金","25047659","973951190","38.95","39.25","38.65","38.95","0.5000","6957"
"1150401","2887","台新新光金","86008641","2058657210","23.65","24.30","23.45","24.05","0.9000","14099"
"1150401","2887E","台新新光戊特一","163924","8293729","50.40","50.80","50.40","50.70","0.2000","58"
"1150401","2887F","台新新光戊特二","8115","384278","47.35","47.40","47.35","47.40","0.2000","8"
"1150401","2887G","台新新光庚特一","93199","3885120","41.65","41.75","41.65","41.75","0.1000","34"
"1150401","2887H","台新新光庚特二","316347","12775522","40.25","40.70","40.25","40.30","0.1000","214"
"1150401","2887I","台新新光辛特","701909","6581702","9.38","9.39","9.37","9.37","0.0100","337"
"1150401","2887Z1","台新新光己特","185940","3267055","17.50","17.60","17.50","17.60","0.1500","45"
"1150401","2889","國票金","2426933","36607314","15.25","15.25","15.00","15.00","0.1000","1445"
"1150401","2890","永豐金","26456808","833205430","31.10","31.80","31.05","31.70","1.0000","8807"
"1150401","2891","中信金","60426407","3222675502","52.70","53.90","52.10","53.70","2.4000","17216"
"1150401","2891B","中信金乙特","8783","562710","64.10","64.20","64.10","64.20","0.0000","19"
"1150401","2891C","中信金丙特","12343","751804","60.90","61.00","60.90","61.00","0.0000","17"
"1150401","2892","第一金","21110318","600339424","28.45","28.65","28.25","28.45","0.2500","6003"
"1150401","2897","王道銀行","3936022","39754993","10.10","10.15","10.05","10.05","0.0500","889"
"1150401","2897B","王道銀乙特","36057","429025","11.90","11.90","11.85","11.90","0.0500","19"
"1150401","2901","欣欣","58354","1370107","24.00","24.00","23.10","23.35","-0.3500","160"
"1150401","2903","遠百","932936","21397460","22.90","23.05","22.75","22.95","0.2500","607"
"1150401","2904","匯僑","24002","401732","16.80","16.80","16.70","16.70","-0.0500","22"
"1150401","2905","三商","519157","7545520","14.55","14.65","14.45","14.55","0.1500","254"
"1150401","2906","高林","37224","486973","13.10","13.15","12.95","13.05","0.1000","49"
"1150401","2908","特力","148711","2979970","20.05","20.10","20.00","20.10","0.1000","74"
