日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20260301,187222,39069,33102,72171,34512,30295,64807,136978,10677,9731,20408,2571,1799,4370,9,16,25,12,2746,2758,0,0,0,2,0,2,0,0,0,174,176,350,0,0,0,4556,4618,9174,3712,2059,5771,341,31,372,172,110,282,3,1,4,0,0,0,3482,3012,6494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1,21,22,0,0,0,161,45,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260302,163674,36649,30405,67054,31867,27613,59480,126534,10266,9129,19395,701,687,1388,27,26,53,16,45,61,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,4070,4455,8525,642,624,1266,124,60,184,0,0,0,1,1,2,0,0,0,3063,3063,6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,26,40,0,0,0,61,28,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260303,156582,35101,29534,64635,29187,25097,54284,118919,9180,8485,17665,2,0,2,26,34,60,46,48,94,0,0,0,0,0,0,0,0,0,150,124,274,0,0,0,3844,4385,8229,3332,2488,5820,82,25,107,0,0,0,1,1,2,0,0,0,2721,2641,5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,16,16,0,0,0,22,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260304,156971,33135,29757,62892,28094,27234,55328,118220,9013,9339,18352,2,1,3,72,75,147,40,41,81,0,0,0,0,10,10,0,0,0,0,0,0,4,5,9,4240,4961,9201,2023,2654,4677,61,61,122,0,0,0,0,0,0,0,0,0,3052,3026,6078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,25,38,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260305,157831,32711,30757,63468,27481,29188,56669,120137,9000,9128,18128,16,1,17,12,12,24,9,6,15,0,0,0,0,0,0,0,0,0,175,166,341,0,3,3,3832,4556,8388,2159,2695,4854,85,40,125,127,120,247,1,11,12,0,0,0,2421,2871,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,0,111,111,0,0,0,57,68,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260306,168853,32450,31501,63951,28575,29272,57847,121798,9652,9658,19310,4723,1959,6682,6,16,22,43,191,234,2,0,2,0,0,0,0,0,0,121,138,259,2,0,2,4101,4664,8765,2064,3070,5134,30,80,110,0,0,0,9,1,10,0,0,0,3095,3304,6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,11,11,0,0,0,74,30,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260307,166584,34661,31778,66439,29631,28588,58219,124658,9173,9429,18602,2,2904,2906,7,13,20,25,23,48,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4021,4451,8472,2593,3313,5906,53,77,130,0,0,0,2,0,2,0,0,0,2880,2822,5702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,61,72,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260308,183059,35528,34915,70443,30400,30065,60465,130908,9453,9672,19125,1959,1570,3529,17,9,26,1977,4659,6636,0,0,0,0,27,27,0,0,0,181,186,367,0,0,0,4271,4665,8936,3120,3137,6257,155,69,224,138,163,301,7,8,15,0,0,0,3342,3129,6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,18,18,0,0,0,81,135,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260309,169576,34116,32082,66198,30041,30100,60141,126339,9645,9350,18995,688,2626,3314,19,10,29,22,34,56,0,0,0,0,9,9,0,0,0,0,0,0,1,0,1,4104,4497,8601,2951,2941,5892,37,89,126,0,0,0,2,0,2,0,0,0,3014,3056,6070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,64,32,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260310,157657,33550,30415,63965,28078,27179,55257,119222,9594,9094,18688,1,1,2,6,18,24,30,34,64,0,0,0,0,8,8,0,0,0,150,133,283,0,0,0,4005,4289,8294,2559,2856,5415,51,51,102,0,0,0,3,1,4,0,0,0,2729,2710,5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,10,10,0,0,0,56,42,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
