日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20250901,132780,28125,26371,54496,23825,23098,46923,101419,7384,6605,13989,22,0,22,38,28,66,28,25,53,0,0,0,3,0,3,0,0,0,0,0,0,2,1,3,4031,3920,7951,2183,1959,4142,68,78,146,0,0,0,7,4,11,0,0,0,2522,2342,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,1,3,4,0,0,0,37,60,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250902,119498,26708,24928,51636,20827,20151,40978,92614,6708,6139,12847,0,0,0,31,14,45,28,53,81,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,3247,3113,6360,1738,1924,3662,71,67,138,44,50,94,0,1,1,0,0,0,1623,1948,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,51,25,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250903,118442,23234,22984,46218,18918,20293,39211,85429,6573,6448,13021,2884,572,3456,80,94,174,39,14,53,0,0,0,0,0,0,0,0,0,3,0,3,1,2,3,4031,3982,8013,1596,1734,3330,58,61,119,11,0,11,0,3,3,0,0,0,2168,2219,4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,35,35,98,225,323,48,28,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250904,115152,24426,23731,48157,19404,20310,39714,87871,6552,6311,12863,6,15,21,16,17,33,12,55,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3361,3607,6968,1706,1886,3592,44,105,149,53,65,118,4,7,11,0,0,0,1740,1631,3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,0,15,15,0,0,0,34,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250905,131248,27711,25191,52902,23028,21847,44875,97777,7092,6317,13409,1747,2030,3777,20,29,49,18,10,28,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4045,3719,7764,1847,1861,3708,35,82,117,0,0,0,6,2,8,0,0,0,2232,2289,4521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,27,0,8,8,0,0,0,27,24,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250906,127268,27274,25633,52907,21417,22774,44191,97098,7122,6871,13993,11,0,11,18,18,36,17,25,42,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3704,3650,7354,2144,2057,4201,40,137,177,52,25,77,6,9,15,0,0,0,2274,1887,4161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,66,29,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250907,153928,28886,29803,58689,26491,26938,53429,112118,8053,8031,16084,4766,2433,7199,21,12,33,25,7,32,0,0,0,0,0,0,0,0,0,4,0,4,2,2,4,4203,4378,8581,2017,2873,4890,98,112,210,52,41,93,6,7,13,0,0,0,2245,2334,4579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,52,35,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250908,128954,24704,25361,50065,21679,24061,45740,95805,6067,6251,12318,3,2743,2746,12,32,44,852,14,866,0,0,0,0,9,9,0,0,0,0,0,0,9,1,10,4050,4301,8351,1846,2385,4231,57,124,181,0,0,0,7,5,12,0,0,0,2243,2004,4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,2,2,4,0,0,0,80,37,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250909,123407,27060,25620,52680,20528,20830,41358,94038,6598,6716,13314,4,0,4,23,42,65,15,17,32,0,11,11,0,0,0,0,792,792,3,5,8,13,12,25,3697,3582,7279,1627,2081,3708,68,134,202,42,47,89,0,1,1,0,0,0,1830,1938,3768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20,20,0,0,0,32,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250910,122625,22544,24617,47161,19568,21989,41557,88718,6129,6530,12659,2443,2346,4789,97,110,207,25,25,50,0,0,0,0,0,0,0,0,0,4,0,4,20,28,48,4299,4315,8614,1689,1694,3383,75,57,132,0,12,12,1,3,4,0,0,0,1860,2089,3949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,38,15,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
