日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20251001,142739,31210,27313,58523,28887,21623,50510,109033,8739,6425,15164,3,4,7,128,125,253,51,31,82,0,18,18,0,0,0,0,0,0,0,0,0,30,29,59,4727,3174,7901,4272,1002,5274,168,67,235,0,0,0,2,6,8,0,0,0,2653,1874,4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,12,12,0,0,0,116,43,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251002,146295,28313,29752,58065,26719,26485,53204,111269,7814,6771,14585,2726,2,2728,54,20,74,13,106,119,6,6,12,0,0,0,0,0,0,0,0,0,0,4,4,3708,3314,7022,4074,2068,6142,110,76,186,91,60,151,15,15,30,0,0,0,2238,1607,3845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,109,18,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251003,166676,29088,33879,62967,27905,33052,60957,123924,8001,8055,16056,1871,4812,6683,12,8,20,41,54,95,1,0,1,8,21,29,0,0,0,0,2,2,0,0,0,4022,4400,8422,2958,2973,5931,63,182,245,11,0,11,11,0,11,0,0,0,2388,2661,5049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,24,33,0,0,0,92,70,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251004,161642,29433,35857,65290,25241,33648,58889,124179,8174,9447,17621,231,223,454,1,1,2,32,25,57,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3590,4480,8070,3048,3534,6582,64,324,388,91,73,164,3,0,3,0,0,0,1946,1997,3943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,67,102,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251005,161421,29262,35113,64375,25910,30427,56337,120712,7769,9352,17121,2105,1858,3963,5,5,10,28,14,42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3258,4329,7587,2651,3685,6336,94,139,233,53,71,124,0,0,0,0,0,0,2434,2673,5107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,17,17,0,0,0,91,73,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251006,151548,31267,31881,63148,27461,26873,54334,117482,7969,8163,16132,1,4,5,6,11,17,5,2,7,10,9,19,0,0,0,0,0,0,0,0,0,3,3,6,3647,4061,7708,1888,3307,5195,137,112,249,0,0,0,0,17,17,0,0,0,2327,2321,4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251007,140680,29373,31042,60415,23772,24036,47808,108223,7499,8300,15799,0,0,0,34,35,69,10,37,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3141,3723,6864,1591,3725,5316,61,100,161,57,155,212,15,6,21,0,0,0,1763,2131,3894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,3,0,0,0,38,27,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251008,133729,25294,29918,55212,21043,24469,45512,100724,6421,8313,14734,0,12,12,121,107,228,41,17,58,205,175,380,0,0,0,0,0,0,0,0,0,4,4,8,3263,4445,7708,1352,3647,4999,76,164,240,0,0,0,0,0,0,0,0,0,1914,2562,4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,10,10,0,0,0,59,84,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251009,152002,28741,33969,62710,24997,29296,54293,117003,7164,9165,16329,10,11,21,58,9,67,121,1847,1968,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3102,4226,7328,1397,3692,5089,41,286,327,42,125,167,1,1,2,0,0,0,1468,2068,3536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,2,4,0,0,0,100,53,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251010,162107,32517,32686,65203,27594,29746,57340,122543,7516,8626,16142,1863,2622,4485,17,20,37,14,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3759,4189,7948,1862,3319,5181,71,361,432,0,0,0,1,0,1,0,0,0,2309,2873,5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,36,87,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
