日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20251211,157278,27296,31849,59145,25565,27231,52796,111941,8434,8832,17266,4180,4176,8356,13,15,28,46,59,105,5,8,13,1,0,1,0,0,0,3,0,3,0,0,0,3991,4217,8208,2508,3132,5640,48,98,146,206,189,395,0,1,1,0,0,0,2443,2644,5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,4,0,0,0,55,28,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251212,162512,29775,32404,62179,29607,28223,57830,120009,8736,8946,17682,1,1,2,12,13,25,1804,1818,3622,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4449,4348,8797,2974,3113,6087,53,68,121,0,0,0,0,10,10,0,0,0,2855,3181,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2,11,13,0,0,0,87,14,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251213,160314,32418,32009,64427,29759,27359,57118,121545,8946,9129,18075,1,0,1,13,7,20,16,14,30,1,5,6,0,0,0,2,0,2,0,0,0,0,0,0,4235,4027,8262,3566,3030,6596,29,154,183,31,46,77,12,4,16,0,0,0,2764,2561,5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,133,40,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251214,168912,32425,33679,66104,31080,27907,58987,125091,9517,8887,18404,2,4,6,4,3,7,1807,1407,3214,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,4375,4534,8909,3127,3288,6415,86,93,179,185,199,384,2,4,6,0,0,0,3132,2961,6093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,139,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251215,168853,34291,31026,65317,29031,26294,55325,120642,9315,8693,18008,4569,4607,9176,15,11,26,4,23,27,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,4245,4401,8646,3320,2931,6251,103,58,161,0,0,0,4,3,7,0,0,0,2830,2997,5827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,45,27,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251216,147903,31680,28609,60289,28333,23496,51829,112118,9220,8087,17307,3,1,4,12,12,24,30,24,54,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3832,4107,7939,3007,2415,5422,76,87,163,47,47,94,2,1,3,0,0,0,2310,2334,4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,36,36,0,0,0,32,55,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251217,147095,29594,28762,58356,27837,23446,51283,109639,9171,8265,17436,1,0,1,32,26,58,36,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,4754,9143,2519,2509,5028,34,66,100,0,0,0,13,10,23,0,0,0,2954,2538,5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,12,12,0,0,0,64,37,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251218,154505,31356,30664,62020,28076,26876,54952,116972,9235,8570,17805,1,1,2,40,32,72,22,20,42,2,2,4,1,0,1,0,0,0,0,2,2,0,0,0,4204,4136,8340,2658,2710,5368,42,65,107,226,189,415,1,0,1,0,0,0,2621,2651,5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,2,2,0,0,0,61,35,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251219,176673,31500,32524,64024,31630,28609,60239,124263,9779,8928,18707,4696,4650,9346,8,14,22,1440,1805,3245,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4485,4396,8881,2958,2805,5763,46,120,166,0,0,0,2,7,9,0,0,0,3004,3171,6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,0,0,0,44,46,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251220,163520,34063,31511,65574,30564,28037,58601,124175,9839,9083,18922,0,0,0,5,4,9,27,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4412,4284,8696,3249,2634,5883,113,125,238,71,25,96,9,9,18,0,0,0,2802,2460,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,96,80,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
