日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20260201,182620,35733,36987,72720,32991,30230,63221,135941,10272,10003,20275,1,0,1,4,9,13,2355,516,2871,0,0,0,0,0,0,1,0,1,177,178,355,0,0,0,4654,4371,9025,3828,3450,7278,114,54,168,162,171,333,0,0,0,0,0,0,3089,3138,6227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,7,7,0,0,0,78,45,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260202,167024,33252,35175,68427,30488,28045,58533,126960,9680,9283,18963,7,0,7,13,6,19,10,12,22,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,4103,4091,8194,3758,2981,6739,115,112,227,0,0,0,0,0,0,0,0,0,2718,3040,5758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,3,3,0,0,0,63,55,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260203,163194,34192,32938,67130,30576,26962,57538,124668,9499,9229,18728,1,0,1,28,34,62,35,10,45,0,14,14,0,0,0,0,0,0,138,135,273,0,0,0,4374,3899,8273,3130,2630,5760,72,91,163,0,0,0,1,1,2,0,0,0,2378,2700,5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,1,0,1,0,0,0,51,63,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260204,160845,32064,32573,64637,29926,26407,56333,120970,9388,9095,18483,5,0,5,21,21,42,16,31,47,0,1,1,0,0,0,0,0,0,0,0,0,18,19,37,4861,4407,9268,2957,2591,5548,74,71,145,0,0,0,0,0,0,0,0,0,3002,3118,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,14,14,0,0,0,87,69,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260205,167009,32905,34512,67417,30329,29030,59359,126776,9363,9211,18574,3,0,3,29,18,47,17,13,30,0,0,0,1,0,1,0,0,0,176,172,348,0,0,0,4522,3897,8419,3336,3287,6623,43,145,188,171,144,315,6,1,7,0,0,0,2674,2862,5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,2,14,16,0,0,0,53,67,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260206,171858,32789,35622,68411,32073,30101,62174,130585,10067,9701,19768,18,1,19,7,5,12,36,25,61,5,5,10,1,0,1,0,0,0,119,142,261,0,0,0,4499,3983,8482,3259,3410,6669,45,173,218,0,0,0,0,0,0,0,0,0,2394,3213,5607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,0,0,0,77,73,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260207,177378,35666,36092,71758,32893,31233,64126,135884,9610,9749,19359,18,0,18,6,0,6,17,21,38,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4525,4031,8556,3545,3270,6815,103,117,220,0,0,0,3,0,3,0,0,0,3445,2955,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,38,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260208,173155,33067,37040,70107,32314,29110,61424,131531,10235,8733,18968,3,0,3,3,5,8,1936,10,1946,0,0,0,0,0,0,0,0,0,172,176,348,6,0,6,4607,4009,8616,2770,2156,4926,94,85,179,155,0,155,0,0,0,0,0,0,3346,3017,6363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,56,42,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260209,177001,36632,34689,71321,34081,27792,61873,133194,10126,9125,19251,3,2,5,2,7,9,17,1906,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4442,3684,8126,4619,3476,8095,136,108,244,0,129,129,3,10,13,0,0,0,3039,2798,5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,3,4,7,0,0,0,59,96,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260210,169329,33768,35142,68910,31211,29506,60717,129627,10044,8918,18962,2,1,3,3,9,12,59,18,77,0,0,0,0,1,1,1,0,1,134,143,277,0,0,0,4301,3824,8125,3586,2772,6358,70,240,310,0,0,0,6,0,6,0,0,0,2861,2497,5358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,1,18,19,0,0,0,70,116,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
